id,crid,is_officer_complaint,disciplined,gender,race,rank,current_salary,allegation_count,discipline_count,honorable_mention_count,major_award_count,civilian_compliment_count
2933,308394,true,true,M,Black,Police Officer Assign Youth Off,100980,7,1,1,0,3
2935,279085,true,true,M,Black,Police Officer as Detective,93192,13,3,2,0,1
2945,300910,true,true,M,Black,Police Officer,96060,20,2,2,0,2
2957,274661,true,true,M,Black,Chief,176532,37,2,1,0,19
2958,307889,true,true,F,Black,Police Officer,86130,9,1,1,0,9
2973,277255,true,true,F,Black,Police Officer,,1,1,2,0,0
2981,1075047,true,true,M,Black,Police Officer,93354,19,2,85,0,2
2989,1062905,true,true,F,Black,Police Officer,84054,4,1,22,0,1
3000,1032639,true,true,M,Black,Police Officer,90024,54,2,13,0,2
3003,1070314,true,true,M,Black,Police Officer,84054,6,1,10,1,1
3005,292387,true,true,M,White,Police Officer,69270,26,1,9,0,3
3006,307264,true,true,M,Black,Police Officer,90024,19,4,14,0,3
3012,263238,true,true,M,Black,Police Officer,,6,4,0,0,0
3013,1016595,true,true,M,Black,Police Officer,90024,9,1,14,0,5
3015,277444,true,true,F,Black,Police Officer,90024,10,2,2,0,0
3016,1063467,true,true,M,Black,Police Officer,90024,18,1,17,0,4
3026,269108,true,true,M,Black,Police Officer / Field Training Officer,96084,38,5,22,0,4
3027,1006950,true,true,M,Black,Police Officer,92430,16,2,9,0,1
3032,315452,true,true,F,Black,Police Officer,68262,5,1,1,0,0
3047,1058800,true,true,M,Black,Police Officer,93354,25,3,13,1,3
3051,274375,true,true,M,Black,Police Officer,,5,1,3,0,2
3052,1009474,true,true,M,Black,Sergeant of Police,98766,30,6,2,0,0
3053,300698,true,true,M,Black,Police Officer,96060,28,2,31,0,5
3054,309411,true,true,F,Black,Police Officer,91338,13,4,9,0,3
3066,1038331,true,true,F,Black,Police Officer Assigned Traffic Specialist,90024,10,3,9,0,3
3067,290174,true,true,M,Black,Police Officer,90024,22,1,30,0,4
3068,1057341,true,true,F,Black,Police Officer / Field Training Officer,87006,6,2,14,0,2
3078,306621,true,true,F,Black,Police Officer as Detective,99888,5,3,2,0,1
3082,298581,true,true,M,Black,Sergeant of Police,90024,31,1,66,0,3
3086,292818,true,true,M,Black,Police Officer,77238,22,13,1,0,0
3101,1033422,true,true,M,Black,Police Officer,87006,13,4,13,0,2
3105,1002658,true,true,M,Black,Police Officer,100980,54,4,10,0,1
3109,264919,true,true,M,White,Sergeant of Police,90348,45,5,9,0,0
3113,278117,true,true,M,White,Police Officer,93354,9,1,16,0,5
3125,1005307,true,true,F,Black,Police Officer,68262,17,7,4,0,3
3127,1026812,true,true,M,White,Lieutenant of Police,93438,24,3,6,0,3
3145,278269,true,true,M,Black,Police Officer,93354,19,1,31,0,2
3156,294689,true,true,F,Black,Police Officer,89718,4,1,4,0,3
3158,312947,true,true,M,White,Police Officer Assigned Evidence Technician,90024,6,1,5,0,3
3207,302968,true,true,F,Black,Police Officer as Detective,90024,6,1,33,0,1
3208,1001003,true,true,F,Black,Sergeant of Police,104628,3,1,24,0,2
3214,1000656,true,true,M,White,Police Officer,90024,4,1,8,0,1
3243,278719,true,true,M,Hispanic,Sergeant of Police,98052,21,1,6,0,13
3244,309551,true,true,M,Black,Police Officer,90024,24,1,46,0,1
3280,264632,true,true,M,Black,Police Officer,96060,15,5,0,0,1
3283,1013493,true,true,M,Hispanic,Police Officer,55728,2,1,10,0,3
3299,311910,true,true,M,Black,Police Officer,90024,9,1,10,0,2
3307,282797,true,true,M,White,Police Officer,88260,43,2,47,0,1
3350,286972,true,true,M,White,Police Officer,83706,46,7,3,0,2
3355,289343,true,true,F,White,Police Officer,62742,13,1,1,0,1
3379,1034428,true,true,F,Black,Police Officer,90024,3,1,0,0,2
3383,1030063,true,true,M,Black,Police Officer,93354,49,1,5,0,2
3388,1009539,true,true,F,White,Police Officer,87006,32,3,154,2,3
3425,1075972,true,true,M,Black,Police Officer,90024,16,1,3,1,3
3429,302858,true,true,M,Black,Sergeant of Police,111474,28,7,33,1,4
3435,294643,true,true,M,White,Police Officer,70656,22,2,5,0,2
3437,290431,true,true,M,White,Police Officer,90024,9,1,37,1,3
3439,294099,true,true,M,Black,Police Officer,95106,61,4,5,0,1
3443,1030424,true,true,M,Black,Police Officer,85278,15,7,2,0,0
