id,crid,is_officer_complaint,disciplined,gender,race,rank,current_salary,allegation_count,discipline_count,honorable_mention_count,major_award_count,civilian_compliment_count
10717,C254760,false,true,M,Black,Police Officer,93354,27,3,21,0,9
10722,C184772,false,true,M,Black,Police Officer as Detective,103932,23,2,4,0,2
10723,C192682,false,true,M,White,Lieutenant of Police,,16,3,2,0,1
10725,C202416,false,true,M,Black,Police Officer,,2,2,0,0,0
10727,1071850,false,true,M,Black,Police Officer,90024,9,3,14,0,1
10730,C232592,false,true,F,Black,Police Officer,90618,4,3,0,0,1
10731,C216832,false,true,M,Black,Police Officer,92430,32,3,23,0,2
10734,C172870,false,true,M,White,Lieutenant of Police,,2,1,4,0,0
10735,C182480,false,true,M,Black,Sergeant of Police,110370,10,1,10,0,6
10739,C229701,false,true,M,Hispanic,Police Officer,83706,13,1,0,0,1
10742,C203549,false,true,M,Black,Police Officer,,12,4,0,0,0
10752,C240654,false,true,M,White,Police Officer,,2,1,2,0,0
10756,C254974,false,true,M,White,Police Officer,95106,14,1,17,0,3
10761,C225252,false,true,M,White,Police Officer,,21,5,2,0,1
10768,C159798,false,true,M,White,Police Officer as Detective,,4,1,0,0,1
10773,C186154,false,true,M,Black,Police Officer Assigned Traffic Specialist,79632,14,1,0,0,0
10774,272122,false,true,F,White,Police Officer Assigned Canine Handler,97080,43,4,26,0,2
10775,C184553,false,true,M,Black,Police Officer / Mounted Patrol Officer,,4,1,0,0,0
10782,C173014,false,true,M,Black,Police Officer,69264,16,4,0,0,0
10785,C191647,false,true,M,White,Police Officer,,3,1,0,0,0
10792,C230093,false,true,M,Black,Police Officer,86532,20,1,4,0,1
10794,C182848,false,true,F,Black,Police Officer,,1,1,0,0,0
10795,C221020,false,true,M,White,Police Officer,,9,1,5,0,6
10798,C147848,false,true,M,Black,Police Officer,83604,15,2,5,0,7
10802,C189277,false,true,M,White,Captain of Police,,8,1,9,0,5
10806,C222098,false,true,M,Black,Police Officer Assigned Evidence Technician,,5,3,0,0,0
10809,1075147,false,true,M,Black,Police Officer,90024,42,7,9,0,2
10810,C207724,false,true,M,Black,Police Officer,,23,12,1,0,0
10811,C249466,false,true,M,Black,Police Officer,70278,11,4,1,0,1
10812,C188827,false,true,F,Black,Police Officer,86130,19,1,7,0,1
10818,C223363,false,true,M,Black,Police Officer,86130,13,2,1,0,1
10820,C269127,false,true,M,Black,Police Officer,93354,17,3,24,0,1
10823,C257180,false,true,M,White,Police Officer,70656,23,1,12,0,1
10832,C199724,false,true,M,White,Police Officer,67326,13,2,2,0,1
10834,C201680,false,true,M,White,Police Officer as Detective,87354,3,1,0,0,1
10837,C212636,false,true,M,Black,Police Officer,69264,3,1,0,0,0
10841,C215306,false,true,M,Black,Police Officer,79152,20,4,1,0,0
10848,C190468,false,true,M,White,Sergeant of Police,93276,8,2,3,0,1
10849,C192569,false,true,F,White,Sergeant of Police,109278,40,4,22,1,4
10858,C242415,false,true,M,White,Police Officer as Detective,103932,27,1,10,0,7
10863,288879,false,true,M,White,Police Officer,90024,5,1,12,0,2
10866,C217456,false,true,M,White,Police Officer,,15,1,2,0,2
10869,C196021,false,true,M,Black,Police Officer,64926,11,1,1,0,0
10871,268918,false,true,F,Black,Police Forensic Investigator I,111252,5,2,6,0,2
10873,1088359,false,true,M,Black,Police Officer,48078,5,1,2,0,1
10877,C190099,false,true,F,Black,Police Officer,92316,29,4,8,0,3
10886,C172917,false,true,M,White,Police Officer,69264,4,1,1,0,0
10890,C243860,false,true,M,Black,Police Officer,83604,102,4,0,0,0
10891,C236308,false,true,M,Black,Police Officer,66924,38,2,17,0,1
10927,C182113,false,true,M,White,Police Officer / Mounted Patrol Officer,,4,2,0,0,0
10930,1068900,false,true,M,Hispanic,Police Officer,87006,10,3,29,0,5
10936,C172874,false,true,M,White,Police Officer,,1,1,0,0,0
10948,C219769,false,true,F,Hispanic,Lieutenant of Police,107988,10,1,20,0,7
10951,308998,false,true,M,Hispanic,Police Officer,79926,43,2,3,1,0
10952,C176160,false,true,M,Hispanic,Police Officer Assigned Evidence Technician,82008,11,1,2,0,0
10962,273036,false,true,M,Hispanic,Police Officer,92316,33,2,12,1,4
10965,C197782,false,true,M,Hispanic,Lieutenant of Police,125190,19,7,5,0,7
10966,C224708,false,true,M,White,Lieutenant of Police,99216,23,1,11,0,2
10967,C251973,false,true,M,Black,Police Officer,,18,3,9,1,3
10969,C249475,false,true,F,White,Sergeant of Police,102978,8,1,5,0,4
10972,C251502,false,true,M,Hispanic,Police Officer as Detective,81126,18,2,0,0,1
10977,279646,false,true,M,White,Police Officer,90024,6,3,8,0,2
10980,C213628,false,true,F,Black,Police Officer,92316,17,2,0,0,1
10982,C188872,false,true,M,Black,Police Officer,,3,1,2,0,0
10986,C196950,false,true,M,White,Police Officer,,6,2,0,0,0
10987,C260809,false,true,M,White,Police Officer,,6,2,1,0,0
10991,263863,false,true,M,White,Police Officer,,12,7,1,0,0
10994,C207199,false,true,M,White,Police Officer,,2,1,0,0,0
10996,C236357,false,true,M,White,Police Officer,86130,37,1,14,0,4
11002,C152985,false,true,M,White,Lieutenant of Police,123948,18,1,5,0,12
11003,C151230,false,true,M,Black,Sergeant of Police,,1,1,0,0,0
11004,C210982,false,true,M,Black,Sergeant of Police,85818,21,4,1,0,0
11011,C250147,false,true,M,Black,Police Officer,93354,18,3,12,1,4
