src,dst,relationship
2599,5801,C107181
3265,2599,C107181
3265,5801,C107181
5801,2599,C107181
5801,3265,C107181
1300,9713,C109162
9713,1300,C109162
4595,7707,C113739
4595,14820,C113739
7707,4595,C113739
7707,14820,C113739
14820,4595,C113739
14820,7707,C113739
841,27594,C115147
27594,841,C115147
3039,4034,C121179
3039,4416,C121179
3039,8015,C121179
3039,9679,C121179
3039,10595,C121179
3039,13066,C121179
3039,18758,C121179
3039,19154,C121179
3039,22480,C121179
3039,23005,C121179
3039,29955,C121179
4034,3039,C121179
4034,4416,C121179
4034,8015,C121179
4034,9679,C121179
4034,10595,C121179
4034,13066,C121179
4034,18758,C121179
4034,19154,C121179
4034,22480,C121179
4034,23005,C121179
4034,29955,C121179
4416,3039,C121179
4416,4034,C121179
4416,8015,C121179
4416,9679,C121179
4416,10595,C121179
4416,13066,C121179
4416,18758,C121179
4416,19154,C121179
4416,22480,C121179
4416,23005,C121179
4416,29955,C121179
8015,3039,C121179
8015,4034,C121179
8015,4416,C121179
8015,9679,C121179
8015,10595,C121179
8015,13066,C121179
8015,18758,C121179
8015,19154,C121179
8015,22480,C121179
8015,23005,C121179
8015,29955,C121179
9679,3039,C121179
9679,4034,C121179
9679,4416,C121179
9679,8015,C121179
9679,10595,C121179
9679,13066,C121179
9679,18758,C121179
9679,19154,C121179
9679,22480,C121179
9679,23005,C121179
9679,29955,C121179
10595,3039,C121179
10595,4034,C121179
10595,4416,C121179
10595,8015,C121179
10595,9679,C121179
10595,13066,C121179
10595,18758,C121179
10595,19154,C121179
10595,22480,C121179
10595,23005,C121179
10595,29955,C121179
13066,3039,C121179
13066,4034,C121179
13066,4416,C121179
13066,8015,C121179
