src,dst,relationship
8220,6131,1028193
8220,6704,1028193
8220,6852,1028193
8220,7032,1028193
8220,9648,1028193
8220,10905,1028193
8220,12947,1028193
8220,13093,1028193
8220,13272,1028193
8220,14007,1028193
8220,15836,1028193
8220,18998,1028193
8220,19798,1028193
8220,20616,1028193
8220,21364,1028193
8220,22258,1028193
8220,22554,1028193
8220,22648,1028193
8220,24039,1028193
8220,24063,1028193
8220,25230,1028193
8220,27668,1028193
8220,28178,1028193
8220,28384,1028193
8220,29252,1028193
8220,31536,1028193
8220,32014,1028193
8220,32042,1028193
8220,32072,1028193
8220,32111,1028193
8220,32356,1028193
8220,32390,1028193
9648,560,1028193
9648,1739,1028193
9648,2201,1028193
9648,2356,1028193
9648,2375,1028193
9648,3526,1028193
9648,4226,1028193
9648,4254,1028193
9648,4565,1028193
9648,6131,1028193
9648,6704,1028193
9648,6852,1028193
9648,7032,1028193
9648,8220,1028193
9648,10905,1028193
9648,12947,1028193
9648,13093,1028193
9648,13272,1028193
9648,14007,1028193
9648,15836,1028193
9648,18998,1028193
9648,19798,1028193
9648,20616,1028193
9648,21364,1028193
9648,22258,1028193
9648,22554,1028193
9648,22648,1028193
9648,24039,1028193
9648,24063,1028193
9648,25230,1028193
9648,27668,1028193
9648,28178,1028193
9648,28384,1028193
9648,29252,1028193
9648,31536,1028193
9648,32014,1028193
9648,32042,1028193
9648,32072,1028193
9648,32111,1028193
9648,32356,1028193
9648,32390,1028193
10905,560,1028193
10905,1739,1028193
10905,2201,1028193
10905,2356,1028193
10905,2375,1028193
10905,3526,1028193
10905,4226,1028193
10905,4254,1028193
10905,4565,1028193
10905,6131,1028193
10905,6704,1028193
10905,6852,1028193
10905,7032,1028193
10905,8220,1028193
10905,9648,1028193
10905,12947,1028193
10905,13093,1028193
10905,13272,1028193
10905,14007,1028193
10905,15836,1028193
10905,18998,1028193
10905,19798,1028193
10905,20616,1028193
10905,21364,1028193
10905,22258,1028193
10905,22554,1028193
10905,22648,1028193
10905,24039,1028193
10905,24063,1028193
10905,25230,1028193
10905,27668,1028193
10905,28178,1028193
10905,28384,1028193
10905,29252,1028193
10905,31536,1028193
10905,32014,1028193
10905,32042,1028193
10905,32072,1028193
10905,32111,1028193
10905,32356,1028193
10905,32390,1028193
12947,560,1028193
12947,1739,1028193
12947,2201,1028193
12947,2356,1028193
12947,2375,1028193
12947,3526,1028193
12947,4226,1028193
12947,4254,1028193
12947,4565,1028193
12947,6131,1028193
12947,6704,1028193
12947,6852,1028193
12947,7032,1028193
12947,8220,1028193
12947,9648,1028193
12947,10905,1028193
12947,13093,1028193
12947,13272,1028193
12947,14007,1028193
12947,15836,1028193
12947,18998,1028193
12947,19798,1028193
12947,20616,1028193
12947,21364,1028193
12947,22258,1028193
12947,22554,1028193
12947,22648,1028193
12947,24039,1028193
12947,24063,1028193
12947,25230,1028193
12947,27668,1028193
12947,28178,1028193
12947,28384,1028193
12947,29252,1028193
12947,31536,1028193
12947,32014,1028193
12947,32042,1028193
12947,32072,1028193
12947,32111,1028193
12947,32356,1028193
12947,32390,1028193
13093,560,1028193
13093,1739,1028193
13093,2201,1028193
13093,2356,1028193
13093,2375,1028193
13093,3526,1028193
13093,4226,1028193
13093,4254,1028193
13093,4565,1028193
13093,6131,1028193
13093,6704,1028193
13093,6852,1028193
13093,7032,1028193
13093,8220,1028193
13093,9648,1028193
13093,10905,1028193
13093,12947,1028193
13093,13272,1028193
13093,14007,1028193
13093,15836,1028193
13093,18998,1028193
13093,19798,1028193
13093,20616,1028193
13093,21364,1028193
13093,22258,1028193
13093,22554,1028193
13093,22648,1028193
13093,24039,1028193
13093,24063,1028193
13093,25230,1028193
13093,27668,1028193
13093,28178,1028193
13093,28384,1028193
13093,29252,1028193
13093,31536,1028193
13093,32014,1028193
13093,32042,1028193
13093,32072,1028193
13093,32111,1028193
13093,32356,1028193
13093,32390,1028193
13272,560,1028193
13272,1739,1028193
13272,2201,1028193
13272,2356,1028193
13272,2375,1028193
13272,3526,1028193
13272,4226,1028193
13272,4254,1028193
13272,4565,1028193
13272,6131,1028193
13272,6704,1028193
13272,6852,1028193
13272,7032,1028193
13272,8220,1028193
13272,9648,1028193
13272,10905,1028193
13272,12947,1028193
13272,13093,1028193
13272,14007,1028193
13272,15836,1028193
13272,18998,1028193
13272,19798,1028193
13272,20616,1028193
13272,21364,1028193
13272,22258,1028193
13272,22554,1028193
13272,22648,1028193
13272,24039,1028193
13272,24063,1028193
13272,25230,1028193
13272,27668,1028193
13272,28178,1028193
13272,28384,1028193
13272,29252,1028193
13272,31536,1028193
13272,32014,1028193
13272,32042,1028193
13272,32072,1028193
13272,32111,1028193
13272,32356,1028193
13272,32390,1028193
14007,560,1028193
14007,1739,1028193
14007,2201,1028193
14007,2356,1028193
14007,2375,1028193
14007,3526,1028193
14007,4226,1028193
14007,4254,1028193
14007,4565,1028193
14007,6131,1028193
14007,6704,1028193
14007,6852,1028193
14007,7032,1028193
14007,8220,1028193
14007,9648,1028193
14007,10905,1028193
14007,12947,1028193
14007,13093,1028193
